#,Player_7,Total,AVG,1,2,3,4,5,6,7,,,,,,,
1,,,,A,A,A,A,A,A,A,,,,,,,
2,,,,C,B,B,C,C,C,A,,,,,,,
3,,,,B,C,B,D,D,A,C,,,,,,,
4,,,,D,C,C,B,A,C,B,,,,,,,
5,,,,D,B,D,A,D,B,D,,,,,,,
6,,,,B,D,A,B,C,D,D,,,,,,,
7,,,,C,A,D,D,B,D,B,,,,,,,
8,,,,A,D,C,C,B,B,C,,,,,,,
